_id,contentId,collectionId,contentType,language,contentIndex,tags,createdAt,text,multilingual,mech1_type,mech1_question,mech1_option1,mech1_option2,mech1_option3,mech1_correct,mech2_type,mech2_question,mech2_option1,mech2_option2,mech2_option3,mech2_correct,mech3_type,mech3_question,mech3_option1,mech3_option2,mech3_option3,mech3_correct
65e856b975372f314360a6e5,ea560e08-4622-4b32-becd-78898a1abe4c,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,6,,2024-02-29T12:55:30.791Z,ध,,,,,,,,,,,,,,,,,,,
65e856b975372f314360a6e7,e5b7ac69-6688-4a6a-9156-a1af42503f8c,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,7,,2024-02-29T12:55:30.791Z,ज,,,,,,,,,,,,,,,,,,,
65e856b975372f314360a6e9,7c638609-831a-4a5c-8196-3cbae158d3ee,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,8,,2024-02-29T12:55:30.791Z,ल,,,,,,,,,,,,,,,,,,,
65e856b975372f314360a6eb,1ab6c7d0-f12c-407f-a71a-8bec095b6731,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,9,,2024-02-29T12:55:30.791Z,क,,,,,,,,,,,,,,,,,,,
65e856b975372f314360a6ed,1860e65d-6965-4cf1-9251-1ceef3b0bc56,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,10,,2024-02-29T12:55:30.791Z,ड,,,,,,,,,,,,,,,,,,,
65e856c175372f314360a6ef,00f592c0-0f57-4c3a-85fe-feb348432f91,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,1,,2024-02-29T12:55:30.791Z,न,,,,,,,,,,,,,,,,,,,
65e856c175372f314360a6f1,b34fecf1-f109-4731-a60f-6a00f6b0542f,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,2,,2024-02-29T12:55:30.791Z,त,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6f3,6e7721fb-451b-4a2b-bbcd-d4915ae458cd,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,3,,2024-02-29T12:55:30.791Z,ज,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6f5,4856e59b-3299-4838-bada-cb41574d2cfb,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,4,,2024-02-29T12:55:30.791Z,च,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6f7,492be064-29bb-4f5c-96a3-e635e5cb96c6,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,5,,2024-02-29T12:55:30.791Z,ठ,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6f9,d48275a9-305c-484b-a8b3-4fc44d6fec4a,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,6,,2024-02-29T12:55:30.791Z,प,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6fb,1dd3bf76-4c5f-48fb-b464-fe9963922e4f,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,7,,2024-02-29T12:55:30.791Z,व,,,,,,,,,,,,,,,,,,,
65e856c275372f314360a6fd,4a1ab433-f362-44d8-b73c-8ec9a57b1280,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,8,,2024-02-29T12:55:30.791Z,द,,,,,,,,,,,,,,,,,,,
65e856c375372f314360a6ff,f5094649-93f8-48cc-81a8-b6eabcb1b789,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,9,,2024-02-29T12:55:30.791Z,घ,,,,,,,,,,,,,,,,,,,
65e856c375372f314360a701,c9060fb1-5a7f-4cee-9d38-09ae4c9fc9dd,dfe36bd6-91d5-436e-b283-0dc3704f19f5,char,hi,10,,2024-02-29T12:55:30.791Z,ग,,,,,,,,,,,,,,,,,,,
65e856cd75372f314360a703,5ef86e69-3f2b-4e9e-abc6-f0208b531e29,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,1,,2024-02-29T12:55:30.791Z,द,,,,,,,,,,,,,,,,,,,
65e856cd75372f314360a705,d2ae9431-6596-4079-8a15-c59ed495d691,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,2,,2024-02-29T12:55:30.791Z,ख,,,,,,,,,,,,,,,,,,,
65e856cd75372f314360a707,f935a6f4-de6d-4ea1-b746-367845b18686,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,3,,2024-02-29T12:55:30.791Z,र,,,,,,,,,,,,,,,,,,,
65e856cd75372f314360a709,60cbec69-c54b-4850-9784-937cefc0785f,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,4,,2024-02-29T12:55:30.791Z,ब,,,,,,,,,,,,,,,,,,,
65e856cd75372f314360a70b,67c00c2a-6224-4b05-9a33-a68c3ffb48f7,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,5,,2024-02-29T12:55:30.791Z,ल,,,,,,,,,,,,,,,,,,,
65e856ce75372f314360a70d,30634f54-b7de-44c6-b2df-7cdcde502c66,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,6,,2024-02-29T12:55:30.791Z,ग,,,,,,,,,,,,,,,,,,,
65e856ce75372f314360a70f,f4fbbc83-763f-4aee-9c67-d4b88e739a0d,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,7,,2024-02-29T12:55:30.791Z,ह,,,,,,,,,,,,,,,,,,,
65e856ce75372f314360a711,e4fcbbbf-1355-4faf-86ec-1931f9e0a2ee,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,8,,2024-02-29T12:55:30.791Z,त,,,,,,,,,,,,,,,,,,,
65e856ce75372f314360a713,e38e79fc-bac2-4847-81c5-f4e719ce473f,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,9,,2024-02-29T12:55:30.791Z,च,,,,,,,,,,,,,,,,,,,
65e856ce75372f314360a715,8a08096e-301d-44c2-b758-e27ee0ef47f4,d95a1672-70d3-437f-92da-9013a4e5e593,char,hi,10,,2024-02-29T12:55:30.791Z,घ,,,,,,,,,,,,,,,,,,,
65e856d675372f314360a717,85f53856-ced0-45f1-97c0-0d7af99956fe,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,1,,2024-02-29T12:55:30.791Z,म,,,,,,,,,,,,,,,,,,,
65e856d675372f314360a719,2856132d-da09-4e90-851a-0cb74528742b,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,2,,2024-02-29T12:55:30.791Z,र,,,,,,,,,,,,,,,,,,,
65e856d675372f314360a71b,ea21e814-1017-49b7-b928-8627545d23c5,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,3,,2024-02-29T12:55:30.791Z,घ,,,,,,,,,,,,,,,,,,,
65e856d675372f314360a71d,df6b45b5-9a53-4b32-88d4-b793787ba936,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,4,,2024-02-29T12:55:30.791Z,ह,,,,,,,,,,,,,,,,,,,
65e856d675372f314360a71f,342da307-f911-4d15-81a1-daf394496ff8,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,5,,2024-02-29T12:55:30.791Z,ट,,,,,,,,,,,,,,,,,,,
65e856d775372f314360a721,37378c45-3d3c-49e8-b33c-54671e2f2d90,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,6,,2024-02-29T12:55:30.791Z,ड,,,,,,,,,,,,,,,,,,,
65e856d775372f314360a723,08542ca5-db51-4f70-ac92-ede5a7764d32,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,7,,2024-02-29T12:55:30.791Z,ब,,,,,,,,,,,,,,,,,,,
65e856d775372f314360a725,b86fd0b1-3d41-42e4-be78-f58e565ab253,919aba0b-7443-4d6c-a1dc-e7b42a803496,char,hi,8,,2024-02-29T12:55:30.791Z,न,,,,,,,,,,,,,,,,,,,
